config,seed,model,buffer,policy,replay,static,final_acc,forgetting,buffer_classes,fit_s,dream_judge_acc,dream_self_acc,recon_mse,judge_test_acc,run_args,omp_threads,schedule,replay_used,hidden,active_frac,asleep_frac,overlap,overlap_in,dim,synops,eff_frac,gate,theta,rest_frac,ach_frac,gate_signal,kp_eff,drift,drift_p99,drift_n,sleeps,rem_used,early_sleeps,sleep_log
bp_derpp_a0.1_b0.5_ce,0,bp,1000,random,derpp,False,0.9228,0.08477800377215622,"[105, 131, 99, 102, 102, 98, 83, 103, 87, 90]",41.038514614105225,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_derpp_a0.1_b0.5_ce,1,bp,1000,random,derpp,False,0.9122,0.10137815842526429,"[96, 118, 99, 106, 103, 101, 89, 101, 81, 106]",40.50603771209717,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_derpp_a0.1_b0.5_ce,2,bp,1000,random,derpp,False,0.9158,0.09509649549903826,"[109, 121, 82, 89, 102, 78, 103, 101, 110, 105]",41.470924615859985,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_derpp_a0.1_b0.5,0,bp,1000,random,derpp,False,0.895,0.12725689227066297,"[105, 131, 99, 102, 102, 98, 83, 103, 87, 90]",46.35590124130249,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_derpp_a0.1_b0.5,1,bp,1000,random,derpp,False,0.8729,0.15454379009889554,"[96, 118, 99, 106, 103, 101, 89, 101, 81, 106]",46.401906967163086,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_derpp_a0.1_b0.5,2,bp,1000,random,derpp,False,0.8936,0.1290687346925967,"[109, 121, 82, 89, 102, 78, 103, 101, 110, 105]",47.52322053909302,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_derpp_a0.1_b0.5_w512_ce,0,bp,1000,random,derpp,False,0.9225,0.08671021765204229,"[105, 131, 99, 102, 102, 98, 83, 103, 87, 90]",77.71874475479126,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_derpp_a0.1_b0.5_w512_ce,1,bp,1000,random,derpp,False,0.9124,0.10212143048983363,"[96, 118, 99, 106, 103, 101, 89, 101, 81, 106]",76.36197113990784,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_derpp_a0.1_b0.5_w512_ce,2,bp,1000,random,derpp,False,0.9228,0.08730401616461725,"[109, 121, 82, 89, 102, 78, 103, 101, 110, 105]",76.30258917808533,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_derpp_a0.1_b0.5_w512,0,bp,1000,random,derpp,False,0.8937,0.12868353799454474,"[105, 131, 99, 102, 102, 98, 83, 103, 87, 90]",75.12562084197998,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
