config,seeds,acc,acc_sd,forgetting,fit_min
g9a_w512s5_pburst16_t64_br16_K200,3,0.8439666666666668,0.01089235205698628,0.11710261612922067,7.209777579042647
static_loc16_refractory_br16_w512s5,3,0.9199,0.0026457513110645825,0.0,13.860916944344838
static_loc16_none_br16_w512s5,3,0.9478,0.0018999999999999829,0.0,11.564829528331757
static_loc16_silent_br16_w512s5,3,0.9502666666666667,0.0025423086620891037,0.0,5.190691129366557
g9a_w512s5_br2,3,0.8674,0.003843175770115134,0.11050099405466829,9.336548635694717
g9a_w512s5_br1,3,0.8291666666666666,0.03462518351335245,0.14558238196962736,11.017249108685387
g9a_w512s5_none_br16,3,0.8693666666666666,0.011539641819975733,0.13614446186167806,14.466000913249122
g9a_w512s5_none_br8,3,0.8393666666666667,0.011500144926623036,0.17588386642143441,8.321087192164528
g9a_w512s5_silent_br16,3,0.8776,0.02134291451512662,0.12421094742348877,9.218035099241469
ctx_nrem_rand_1000_nb16,3,0.8104333333333334,0.01645184893357992,0.17800662415347768,1.1983762423197428
ctx_nrem_rand_1000_nb64,3,0.8770333333333333,0.048628421045036396,0.09417036671503398,1.230540112654368
ctx_nrem_rand_1000_w512,3,0.8410666666666667,0.01283445882510572,0.16086855740157843,1.3766788085301718
g9a_w256s10_br16,3,0.9090333333333334,0.002100793500878488,0.06164154899705757,7.282924405733744
g9a_w256s10_br8,3,0.9044333333333333,0.0022007574453658547,0.062238786706822875,6.652842983934614
g10_rp05_w512s5,3,0.8884,0.0034394767043839404,0.11211579574974954,11.694193736712139
g10_rp1_w512s5,3,0.8622666666666667,0.00858739386154689,0.14730571507236942,13.154590876897176
g10_rp2_w512s5,3,0.8192666666666667,0.006143560314128417,0.20611214122188878,13.129029842217763
g10_rp4_w512s5,3,0.8067666666666667,0.010702491921666333,0.22013368089273752,11.444751947455936
g10_rf25_w512s5,3,0.9101,0.005828378848359123,0.06941790477965534,13.818834869066874
g10_rf50_w512s5,3,0.9101,0.005828378848359123,0.06941790477965534,11.70791127151913
static_g10_rp05_w512s5,3,0.9162,0.0031048349392519955,0.0,11.535151251157124
static_g10_rp1_w512s5,3,0.9218000000000001,0.004563989482897617,0.0,12.929809330569373
static_g10_rp2_w512s5,3,0.9317333333333333,0.0009451631252504959,0.0,13.124893817636702
static_g10_rp4_w512s5,3,0.9402,0.004293017586733147,0.0,11.48541444407569
static_g10_rf25_w512s5,3,0.9187333333333333,0.0025146238950055984,0.0,13.941751828458573
static_g10_rf50_w512s5,3,0.9201333333333332,0.0029687258770949997,0.0,11.39187168677648
g10_ach15_w512s5,3,0.9092333333333333,0.0038070110760718198,0.08932702530219609,12.381793284416199
g10_ach25_w512s5,3,0.9085333333333333,0.008622258018253238,0.09326632329180828,12.362076508998872
g10_ach40_w512s5,3,0.9028666666666667,0.0009451631252504792,0.10258233808282273,12.804191021124522
static_g10_ach15_w512s5,3,0.9199,0.0026457513110645825,0.0,11.68939023812612
static_g10_ach25_w512s5,3,0.9199,0.0026457513110645825,0.0,12.109285636742909
static_g10_ach40_w512s5,2,0.9455,0.00028284271247458785,0.0,12.197489813963573
cif_ach25_br16,2,0.26234999999999997,0.0037476659402887404,0.37231250000000005,9.542525213956832
g10_nov11_w512s5,3,0.9093333333333332,0.006439202849214606,0.08167932399735876,8.779914122157628
g10_nov13_w512s5,3,0.9020333333333334,0.007181457605064035,0.0928040269083605,11.011080884933472
g10_nov15_w512s5,3,0.9029333333333334,0.004441095960833711,0.09347546888265414,8.616229478518168
static_g10_nov11_w512s5,3,0.9378666666666667,0.005497575223071773,0.0,8.485862179597218
static_g10_nov13_w512s5,3,0.9435333333333333,0.0019857828011475447,0.0,8.547240379121568
static_g10_nov15_w512s5,3,0.9504333333333334,0.003992910383834513,0.0,8.105156687895457
cif_nov13_br16,3,0.19213333333333335,0.008280297901243244,0.6875,7.391682457923889
g10_k200_g1,3,0.8341333333333333,0.0019425069712444819,0.14045738608272854,11.950250910388098
g10_k200_g2,3,0.8091666666666667,0.01417368453625706,0.20885516572611718,12.111646567450629
g10_k200_n02,3,0.8261333333333334,0.008064944719794024,0.19314128643606024,11.158117185698615
g10_k200_g1_n02,3,0.8402,0.012473572062564884,0.15094679022605906,11.210280236932967
g10_k200_pb16_g1,3,0.6635,0.02788601800185887,0.354600356702873,6.73694865571128
g10_k200_pb16_n02,3,0.8431666666666667,0.00979608765443296,0.11216251654923899,6.435615070660909
g10_n02_w512s5,3,0.9036,0.001670329308849032,0.07269466314729707,14.108577354749043
cif_night,3,0.23786666666666667,0.012113766273679449,0.4655833333333333,1.2021341270870634
cif_refr_br16,3,0.2708333333333333,0.017052956732875792,0.3765833333333333,13.51394565767712
cif_none_br16,3,0.20933333333333334,0.018391936639009312,0.6663333333333333,13.005530819627975
cif_rp4_br16,3,0.1883,0.0036345563690772494,0.7019166666666666,14.843416990174187
cif_ctx_none,3,0.16026666666666667,0.0006658328118479389,0.7685,0.4441985249519348
cif_bp_none,3,0.16519999999999999,0.0009643650760992968,0.7832916666666666,0.22417634460661148
cif_bp_er_1000,3,0.25076666666666664,0.015387115822444878,0.6605833333333334,0.47332814402050444
cif_static_none,3,0.2279,0.012652667702899651,0.0,13.610988218254512
cif_static_refr,3,0.25299999999999995,0.00955981171362697,0.0,13.568088519573212
cif_static_rp4,3,0.2925666666666667,0.017926888556950807,0.0,14.85871858464347
